Indicador,Sexo,Geo,GeoDesc,OBS_VALUE,Pais
Esperança de Vida,Homens,SI,Slovenia,79.1,Eslovénia
Esperança de Vida,Homens,SK,Slovakia,74.9,Eslováquia
Esperança de Vida,Homens,TR,Türkiye,74.8,Turquia
Esperança de Vida,Total,AT,Austria,81.9,Austria
Esperança de Vida,Total,BE,Belgium,82.5,Bélgica
Esperança de Vida,Total,BG,Bulgaria,75.8,Bulgária
Esperança de Vida,Total,CH,Switzerland,84.3,Suíça
Esperança de Vida,Total,CY,Cyprus,82.9,Chipre
Esperança de Vida,Total,CZ,Czechia,79.9,Chequia
Esperança de Vida,Total,DE,Germany,81.1,Alemanha
Esperança de Vida,Total,DK,Denmark,81.8,Dinamarca
Esperança de Vida,Total,EE,Estonia,79.1,Estónia
Esperança de Vida,Total,EL,Greece,81.8,Grécia
Esperança de Vida,Total,ES,Spain,84,Espanha
Esperança de Vida,Total,EU27_2020,União Europeia,81.4,EU27
Esperança de Vida,Total,FI,Finland,81.6,Finlândia
Esperança de Vida,Total,FR,France,83,França
Esperança de Vida,Total,GE,Georgia,73.7,Georgia
Esperança de Vida,Total,HR,Croatia,78.6,Croácia
Esperança de Vida,Total,HU,Hungary,76.7,Hungria
Esperança de Vida,Total,IE,Ireland,82.9,Irlanda
Esperança de Vida,Total,IS,Iceland,82.4,Islândia
Esperança de Vida,Total,IT,Italy,83.5,Itália
Esperança de Vida,Total,LI,Liechtenstein,84.6,Liechtenstein
Esperança de Vida,Total,LT,Lithuania,77.6,Lituânia
Esperança de Vida,Total,LU,Luxembourg,83.4,Luxemburgo
Esperança de Vida,Total,LV,Latvia,75.6,Letónia
Esperança de Vida,Total,MD,Moldova,71.9,Moldova
Esperança de Vida,Total,ME,Montenegro,77.6,Montenegro
Esperança de Vida,Total,MT,Malta,83.4,Malta
Esperança de Vida,Total,NL,Netherlands,81.9,Países Baixos
Esperança de Vida,Total,NO,Norway,83.1,Noruega
Esperança de Vida,Total,PL,Poland,78.4,Polónia
Esperança de Vida,Total,PT,Portugal,82.5,Portugal
Esperança de Vida,Total,RO,Romania,76.4,Roménia
Esperança de Vida,Total,RS,Serbia,76.2,Sérvia
Esperança de Vida,Total,SE,Sweden,83.4,Suécia
Esperança de Vida,Total,SI,Slovenia,82,Eslovénia
Esperança de Vida,Total,SK,Slovakia,78.2,Eslováquia
Esperança de Vida,Total,TR,Türkiye,77.3,Turquia
