Variavel,Categoria,Geo,Geo_Desc,Ano,Valor,Var_Num,Cat_Num,DescLocal,YCoord,XCoord
Idade,15-19,BE,Belgium,2024,22.8,3,2,Fim,982,22.8
Idade,15-19,BG,Bulgaria,2024,37.6,3,2,Inicio,980,30.3
Idade,15-19,BG,Bulgaria,2024,37.6,3,2,Fim,982,37.6
Idade,15-19,CY,Cyprus,2024,15,3,2,Inicio,980,17.1
Idade,15-19,CY,Cyprus,2024,15,3,2,Fim,982,15
Idade,15-19,CZ,Czechia,2024,17.3,3,2,Inicio,980,11.3
Idade,15-19,CZ,Czechia,2024,17.3,3,2,Fim,982,17.3
Idade,15-19,DE,Germany,2024,25.7,3,2,Inicio,980,21.1
Idade,15-19,DE,Germany,2024,25.7,3,2,Fim,982,25.7
Idade,15-19,DK,Denmark,2024,15,3,2,Inicio,980,18
Idade,15-19,DK,Denmark,2024,15,3,2,Fim,982,15
Idade,15-19,EE,Estonia,2024,17.5,3,2,Inicio,980,22.2
Idade,15-19,EE,Estonia,2024,17.5,3,2,Fim,982,17.5
Idade,15-19,EL,Greece,2024,33.6,3,2,Inicio,980,26.9
Idade,15-19,EL,Greece,2024,33.6,3,2,Fim,982,33.6
Idade,15-19,ES,Spain,2024,32.3,3,2,Inicio,980,25.8
Idade,15-19,ES,Spain,2024,32.3,3,2,Fim,982,32.3
Idade,15-19,FI,Finland,2024,20.7,3,2,Inicio,980,16.8
Idade,15-19,FI,Finland,2024,20.7,3,2,Fim,982,20.7
Idade,15-19,FR,France,2024,29.6,3,2,Inicio,980,20.5
Idade,15-19,FR,France,2024,29.6,3,2,Fim,982,29.6
Idade,15-19,HR,Croatia,2024,20.6,3,2,Inicio,980,21.7
Idade,15-19,HR,Croatia,2024,20.6,3,2,Fim,982,20.6
Idade,15-19,HU,Hungary,2024,21.4,3,2,Inicio,980,20.2
Idade,15-19,HU,Hungary,2024,21.4,3,2,Fim,982,21.4
Idade,15-19,IE,Ireland,2024,17.5,3,2,Inicio,980,17.1
