Data,COICOP,Valor
2005-09-15,Total,86.26
2005-09-15,Serviços Postais,67.51
2005-10-15,Total,86.55
2005-10-15,Serviços Postais,67.51
2005-11-15,Total,86.74
2005-11-15,Serviços Postais,67.51
2005-12-15,Total,86.81
2005-12-15,Serviços Postais,67.51
2006-01-15,Total,86.51
2006-01-15,Serviços Postais,67.51
2006-02-15,Total,86.68
2006-02-15,Serviços Postais,67.51
2006-03-15,Total,87.72
2006-03-15,Serviços Postais,67.51
2006-04-15,Total,88.22
2006-04-15,Serviços Postais,67.51
2006-05-15,Total,88.7
2006-05-15,Serviços Postais,67.51
2006-06-15,Total,88.66
2006-06-15,Serviços Postais,67.51
2006-07-15,Total,88.53
2006-07-15,Serviços Postais,67.51
2006-08-15,Total,88.46
2006-08-15,Serviços Postais,67.51
2006-09-15,Total,88.82
2006-09-15,Serviços Postais,67.51
2006-10-15,Total,88.84
2006-10-15,Serviços Postais,67.51
2006-11-15,Total,88.84
2006-11-15,Serviços Postais,67.51
2006-12-15,Total,89
2006-12-15,Serviços Postais,67.51
2007-01-15,Total,88.74
2007-01-15,Serviços Postais,67.51
2007-02-15,Total,88.71
2007-02-15,Serviços Postais,67.51
2007-03-15,Total,89.82
2007-03-15,Serviços Postais,67.51
2007-04-15,Total,90.65
2007-04-15,Serviços Postais,67.51
2007-05-15,Total,90.81
2007-05-15,Serviços Postais,67.51
2007-06-15,Total,90.78
2007-06-15,Serviços Postais,67.51
2007-07-15,Total,90.56
2007-07-15,Serviços Postais,67.51
2007-08-15,Total,90.18
2007-08-15,Serviços Postais,67.51
2007-09-15,Total,90.57
2007-09-15,Serviços Postais,67.51
2007-10-15,Total,91.04
2007-10-15,Serviços Postais,67.51
2007-11-15,Total,91.33
2007-11-15,Serviços Postais,67.51
2007-12-15,Total,91.44
2007-12-15,Serviços Postais,67.51
2008-01-15,Total,91.31
2008-01-15,Serviços Postais,67.51
2008-02-15,Total,91.32
2008-02-15,Serviços Postais,67.51
2008-03-15,Total,92.65
2008-03-15,Serviços Postais,67.51
2008-04-15,Total,92.94
2008-04-15,Serviços Postais,67.51
2008-05-15,Total,93.39
2008-05-15,Serviços Postais,67.51
2008-06-15,Total,93.86
2008-06-15,Serviços Postais,67.51
2008-07-15,Total,93.39
2008-07-15,Serviços Postais,67.51
2008-08-15,Total,92.97
2008-08-15,Serviços Postais,70.11
2008-09-15,Total,93.44
2008-09-15,Serviços Postais,70.11
2008-10-15,Total,93.28
2008-10-15,Serviços Postais,70.11
2008-11-15,Total,92.63
2008-11-15,Serviços Postais,70.11
2008-12-15,Total,92.21
2008-12-15,Serviços Postais,70.11
2009-01-15,Total,91.41
2009-01-15,Serviços Postais,70.12
2009-02-15,Total,91.38
2009-02-15,Serviços Postais,71.29
2009-03-15,Total,92.1
2009-03-15,Serviços Postais,71.29
2009-04-15,Total,92.43
2009-04-15,Serviços Postais,71.29
2009-05-15,Total,92.22
