Ano,Mes,Origem,Dormidas
2000,1,Não Residente,981915
2000,2,Não Residente,1274164
2000,3,Não Residente,1780949
2000,4,Não Residente,2083035
2000,5,Não Residente,2374783
2000,6,Não Residente,2412746
2000,7,Não Residente,2713869
2000,8,Não Residente,2948603
2000,9,Não Residente,2626477
2000,10,Não Residente,2268131
2000,11,Não Residente,1359847
2000,12,Não Residente,991929
2001,1,Não Residente,1080412
2001,2,Não Residente,1368100
2001,3,Não Residente,1766449
2001,4,Não Residente,2099181
2001,5,Não Residente,2320249
2001,6,Não Residente,2455357
2001,7,Não Residente,2723348
2001,8,Não Residente,2884070
2001,9,Não Residente,2576595
2001,10,Não Residente,2148106
2001,11,Não Residente,1244157
2001,12,Não Residente,911547
2002,1,Não Residente,1002957
2002,2,Não Residente,1300835
2002,3,Não Residente,1923985
2002,4,Não Residente,1845448
2002,5,Não Residente,2289541
2002,6,Não Residente,2422722
2002,7,Não Residente,2710392
2002,8,Não Residente,3076168
2002,9,Não Residente,2696015
2002,10,Não Residente,2139092
2002,11,Não Residente,1232280
2002,12,Não Residente,923259
2003,1,Não Residente,1034067
2003,2,Não Residente,1312053
2003,3,Não Residente,1695452
2003,4,Não Residente,1998299
2003,5,Não Residente,2318482
2003,6,Não Residente,2418076
2003,7,Não Residente,2734802
2003,8,Não Residente,3020543
2003,9,Não Residente,2499935
2003,10,Não Residente,2074081
2003,11,Não Residente,1172811
2003,12,Não Residente,936097
2004,1,Não Residente,1003222
2004,2,Não Residente,1299371
2004,3,Não Residente,1630248
2004,4,Não Residente,1939833
2004,5,Não Residente,2225431
2004,6,Não Residente,2490007
2004,7,Não Residente,2513022
2004,8,Não Residente,2928462
2004,9,Não Residente,2547277
2004,10,Não Residente,2151144
2004,11,Não Residente,1225417
2004,12,Não Residente,1048559
2005,1,Não Residente,1080678
2005,2,Não Residente,1290298
2005,3,Não Residente,1823054
2005,4,Não Residente,1873179
2005,5,Não Residente,2353894
2005,6,Não Residente,2413605
2005,7,Não Residente,2747197
2005,8,Não Residente,3053538
2005,9,Não Residente,2712632
2005,10,Não Residente,2283295
2005,11,Não Residente,1299710
2005,12,Não Residente,1050856
2006,1,Não Residente,1105144
2006,2,Não Residente,1316533
2006,3,Não Residente,1734812
2006,4,Não Residente,2243200
2006,5,Não Residente,2478299
2006,6,Não Residente,2594714
2006,7,Não Residente,2941988
2006,8,Não Residente,3466491
