ISCED11,Nivel,Sexo,Idade,Geo,Ano,Valor
TOTAL,3-Sometimes,Total,Y16-00,RO,2022,37.7
TOTAL,5-Always,Total,Y16-00,RS,2022,8.5
TOTAL,4-Most Times,Total,Y16-00,RS,2022,43.6
TOTAL,1-Never,Total,Y16-00,RS,2022,4.4
TOTAL,2-Rarely,Total,Y16-00,RS,2022,9.5
TOTAL,3-Sometimes,Total,Y16-00,RS,2022,32.3
TOTAL,5-Always,Total,Y16-00,SE,2022,6.3
TOTAL,4-Most Times,Total,Y16-00,SE,2022,63
TOTAL,1-Never,Total,Y16-00,SE,2022,0.9
TOTAL,2-Rarely,Total,Y16-00,SE,2022,6.1
TOTAL,3-Sometimes,Total,Y16-00,SE,2022,23.8
TOTAL,5-Always,Total,Y16-00,SI,2022,10.5
TOTAL,4-Most Times,Total,Y16-00,SI,2022,55.8
TOTAL,1-Never,Total,Y16-00,SI,2022,1.1
TOTAL,2-Rarely,Total,Y16-00,SI,2022,7.6
TOTAL,3-Sometimes,Total,Y16-00,SI,2022,24.5
TOTAL,5-Always,Total,Y16-00,SK,2022,10.1
TOTAL,4-Most Times,Total,Y16-00,SK,2022,46.1
TOTAL,1-Never,Total,Y16-00,SK,2022,1.5
TOTAL,2-Rarely,Total,Y16-00,SK,2022,6.7
TOTAL,3-Sometimes,Total,Y16-00,SK,2022,28.4
TOTAL,5-Always,Total,Y16-00,TR,2022,17
TOTAL,4-Most Times,Total,Y16-00,TR,2022,39.7
TOTAL,1-Never,Total,Y16-00,TR,2022,2.5
TOTAL,2-Rarely,Total,Y16-00,TR,2022,10.2
TOTAL,3-Sometimes,Total,Y16-00,TR,2022,30.6
