Equipa,Jornada,Pontos
Rio Ave,1,0
Rio Ave,2,3
Rio Ave,3,3
Rio Ave,4,6
Rio Ave,5,6
Rio Ave,6,7
Rio Ave,7,7
Rio Ave,8,8
Rio Ave,9,8
Rio Ave,10,9
Rio Ave,11,12
Rio Ave,12,15
Rio Ave,13,15
Rio Ave,14,16
Rio Ave,15,16
Rio Ave,16,19
Rio Ave,17,20
Rio Ave,18,20
Rio Ave,19,23
Rio Ave,20,24
Rio Ave,21,25
Rio Ave,22,26
Rio Ave,23,26
Rio Ave,24,29
Rio Ave,25,29
Rio Ave,26,29
Rio Ave,27,29
Rio Ave,28,29
Rio Ave,29,32
Rio Ave,30,33
Rio Ave,31,33
Rio Ave,32,36
Rio Ave,33,37
Rio Ave,34,38
Gil Vicente,1,0
Gil Vicente,2,3
Gil Vicente,3,4
Gil Vicente,4,5
Gil Vicente,5,6
Gil Vicente,6,7
Gil Vicente,7,7
Gil Vicente,8,10
Gil Vicente,9,10
Gil Vicente,10,10
Gil Vicente,11,10
Gil Vicente,12,10
Gil Vicente,13,13
Gil Vicente,14,16
Gil Vicente,15,17
Gil Vicente,16,18
Gil Vicente,17,19
Gil Vicente,18,22
Gil Vicente,19,22
Gil Vicente,20,22
Gil Vicente,21,22
Gil Vicente,22,22
Gil Vicente,23,22
Gil Vicente,24,22
Gil Vicente,25,23
Gil Vicente,26,23
Gil Vicente,27,26
Gil Vicente,28,26
Gil Vicente,29,26
Gil Vicente,30,29
Gil Vicente,31,32
Gil Vicente,32,32
Gil Vicente,33,33
Gil Vicente,34,34
Nacional,1,1
Nacional,2,1
Nacional,3,1
Nacional,4,4
Nacional,5,4
Nacional,6,4
Nacional,7,5
Nacional,8,5
Nacional,9,5
Nacional,10,8
Nacional,11,8
Nacional,12,9
Nacional,13,9
Nacional,14,12
Nacional,15,13
Nacional,16,13
Nacional,17,16
Nacional,18,19
Nacional,19,19
Nacional,20,19
Nacional,21,22
Nacional,22,23
Nacional,23,23
Nacional,24,26
Nacional,25,26
Nacional,26,29
Nacional,27,29
Nacional,28,29
Nacional,29,32
Nacional,30,32
Nacional,31,33
Nacional,32,33
Nacional,33,34
Nacional,34,34
Estrela,1,1
Estrela,2,1
Estrela,3,1
Estrela,4,1
Estrela,5,2
Estrela,6,2
Estrela,7,5
Estrela,8,5
Estrela,9,6
Estrela,10,6
Estrela,11,9
Estrela,12,9
Estrela,13,12
Estrela,14,12
Estrela,15,15
Estrela,16,16
Estrela,17,16
Estrela,18,16
Estrela,19,17
Estrela,20,17
Estrela,21,17
Estrela,22,20
Estrela,23,21
Estrela,24,22
Estrela,25,23
Estrela,26,23
Estrela,27,23
Estrela,28,26
Estrela,29,26
Estrela,30,26
Estrela,31,29
Estrela,32,29
Estrela,33,29
Estrela,34,29
AFS,1,1
AFS,2,1
AFS,3,4
AFS,4,4
AFS,5,7
AFS,6,7
AFS,7,8
AFS,8,9
AFS,9,9
AFS,10,9
AFS,11,10
AFS,12,10
AFS,13,11
AFS,14,12
AFS,15,13
AFS,16,14
AFS,17,15
AFS,18,15
AFS,19,18
AFS,20,18
AFS,21,18
AFS,22,19
AFS,23,20
AFS,24,23
AFS,25,23
AFS,26,23
AFS,27,23
AFS,28,23
AFS,29,23
AFS,30,24
AFS,31,24
AFS,32,24
AFS,33,27
AFS,34,27
SC Farense,1,0
SC Farense,2,0
SC Farense,3,0
SC Farense,4,0
SC Farense,5,0
SC Farense,6,0
SC Farense,7,1
SC Farense,8,4
SC Farense,9,4
SC Farense,10,4
SC Farense,11,5
SC Farense,12,8
SC Farense,13,9
SC Farense,14,9
SC Farense,15,12
SC Farense,16,13
SC Farense,17,14
SC Farense,18,15
SC Farense,19,15
SC Farense,20,15
SC Farense,21,15
SC Farense,22,15
SC Farense,23,16
SC Farense,24,16
SC Farense,25,17
SC Farense,26,17
SC Farense,27,17
SC Farense,28,18
SC Farense,29,21
SC Farense,30,21
SC Farense,31,21
SC Farense,32,24
SC Farense,33,27
SC Farense,34,27
Boavista,1,3
Boavista,2,3
Boavista,3,3
Boavista,4,4
Boavista,5,5
Boavista,6,5
Boavista,7,5
Boavista,8,6
Boavista,9,6
Boavista,10,9
Boavista,11,9
Boavista,12,10
Boavista,13,11
Boavista,14,11
Boavista,15,12
Boavista,16,12
Boavista,17,12
Boavista,18,12
Boavista,19,12
Boavista,20,12
Boavista,21,12
Boavista,22,12
Boavista,23,12
Boavista,24,15
Boavista,25,15
Boavista,26,15
Boavista,27,15
Boavista,28,18
Boavista,29,18
Boavista,30,21
Boavista,31,21
Boavista,32,24
Boavista,33,24
Boavista,34,24
