DepNum,DepNome,Index,Party,Distrito,Custom,Rows,Cols,Row2,Col2
1, MÁRIO FILIPE AMORIM FARIA OLIVEIRA LOPES,18,IL,Aveiro,7,15,10,15,10
1, RUI NUNO DE OLIVEIRA GARCIA ROCHA,88,IL,Braga,7,16,1,16,1
4, JORGE MIGUEL ESTEVES TEIXEIRA,336,IL,Lisboa,7,16,2,16,2
1, MARIANA DE LEMOS QUINTÃO CORREIA LEITÃO,330,IL,Lisboa,7,16,3,16,3
2, RODRIGO MIGUEL DIAS SARAIVA,332,IL,Lisboa,7,16,4,16,4
3, ANGÉLIQUE INÊS DA TERESA,334,IL,Lisboa,7,16,5,16,5
2, MIGUEL MACHADO DA SILVA RANGEL DA FONSECA,467,IL,Porto,7,16,6,16,6
1, CARLOS MANUEL GUIMARÃES OLIVEIRA PINTO,465,IL,Porto,7,16,7,16,7
1, JOANA RITA MADALENO CORDEIRO,595,IL,Setúbal,7,16,8,16,8
1, FRANCISCO GABRIEL MENESES DE LIMA,749,CH,Açores,8,16,9,19.98,5.35
3, ARMANDO CARLOS DA SILVA GRAVE,10,CH,Aveiro,8,16,10,14.79,9.75
4, PEDRO MIGUEL TAVARES DOS SANTOS,12,CH,Aveiro,8,17,1,26.33,0.96
1, RUI CELESTINO DOS SANTOS CRISTINA,55,CH,Beja,8,17,2,18.64,-0.95
1, PEDRO SARAIVA GONÇALVES SANTOS FRAZÃO,6,CH,Aveiro,8,17,3,24.99,11.53
2, MARIA JOSÉ GOMES DE AGUIAR,8,CH,Aveiro,8,17,4,24.12,13.18
3, VANESSA CLAÚDIA NOGUEIRA ROSA BARATA,78,CH,Braga,8,17,5,19.41,8.15
5, LINA RAQUEL MAIA PINHEIRO,82,CH,Braga,8,17,6,24.94,11.15
1, JOÃO FILIPE DIAS RIBEIRO,144,CH,Castelo Branco,8,17,7,14.97,13.68
2, RODRIGO SANTOS ALVES TAXA,76,CH,Braga,8,17,8,14.27,-2.52
1, ANTÓNIO FILIPE DIAS MELO PEIXOTO,74,CH,Braga,8,17,9,18.02,5.49
4, CARLOS ALBERTO BARBOSA VIEIRA PINTO,80,CH,Braga,8,17,10,18.87,2.77
2, ELISEU DA COSTA NEVES,167,CH,Coimbra,8,18,1,17.23,0.64
2, JOÃO PAULO DA SILVA GRAÇA,217,CH,Faro,8,18,2,15.57,1.7
1, JORGE MANUEL DE VALSASSINA GALVEIAS RODRIGUES,196,CH,Évora,8,18,3,16.33,-1.01
1, PAULO JORGE RODRIGUES NOGUEIRA SECO,165,CH,Coimbra,8,18,4,22.18,0.76
1, PEDRO MIGUEL SOARES PINTO,215,CH,Faro,8,18,5,18.62,8.87
3, CRISTINA MARIA VIEIRA HENRIQUES,269,CH,Leiria,8,18,6,15.9,-0.68
2, LUÍS PAULO PEREIRA FERNANDES,267,CH,Leiria,8,18,7,23.36,11.14
3, SANDRA MARGARIDA DE MELO PEREIRA RIBEIRO,219,CH,Faro,8,18,8,26.54,-2.23
4, ANTÓNIO RICARDO CORREIA MOREIRA,221,CH,Faro,8,18,9,20.13,13.83
1, CARLOS NUNO GOMES E SIMÕES DE MELO,246,CH,Guarda,8,18,10,16.59,5.76
1, GABRIEL SÉRGIO MITHÁ RIBEIRO,265,CH,Leiria,8,19,1,14.12,13.89
9, PATRÍCIA ISABEL MORGADO DE ALMEIDA,320,CH,Lisboa,8,19,2,19.88,5.39
10, MADALENA SIMÕES CORDEIRO,322,CH,Lisboa,8,19,3,24.99,12.92
8, JOSE MANUEL POMBINHO BARREIRA SOARES,318,CH,Lisboa,8,19,4,14.09,6.69
7, BRUNO MIGUEL DE OLIVEIRA NUNES,316,CH,Lisboa,8,19,5,17.33,11.37
1, ANDRE CLARO AMARAL VENTURA,304,CH,Lisboa,8,19,6,26.43,1.85
3, MARTA SOFIA MARTINS DA SILVA,308,CH,Lisboa,8,19,7,21.28,8.4
11, RUI MIGUEL CANDEIAS CARDOSO,324,CH,Lisboa,8,19,8,14.5,9.79
5, RICARDO DIAS PINTO BLAUFUKS,312,CH,Lisboa,8,19,9,16.83,-1.85
6, FELICIDADE MARIA DA SILVA SANTOS VITAL DE ALCÃNTARA,314,CH,Lisboa,8,19,10,17.29,10.84
4, PEDRO MANUEL DE ANDRADE PESSANHA FERNANDES,310,CH,Lisboa,8,20,1,16.73,7.71
