Pais_Desc,Pais_Cod,Mes,Taxa,TaxaEA,Diferenca
Austria,AT,10/15/2019,4.9,7.4,-2.5
Austria,AT,11/15/2019,4.3,7.5,-3.2
Austria,AT,12/15/2019,4.5,7.5,-3
Austria,AT,1/15/2020,4.5,7.5,-3
Austria,AT,2/15/2020,4.6,7.3,-2.7
Austria,AT,3/15/2020,4.9,7.2,-2.3
Austria,AT,4/15/2020,6.1,7.4,-1.3
Austria,AT,5/15/2020,7.2,7.7,-0.5
Austria,AT,6/15/2020,7.7,8.1,-0.4
Austria,AT,7/15/2020,6.7,8.5,-1.8
Austria,AT,8/15/2020,6.4,8.6,-2.2
Austria,AT,9/15/2020,6.2,8.6,-2.4
Austria,AT,10/15/2020,6,8.4,-2.4
Austria,AT,11/15/2020,6.1,8.2,-2.1
Austria,AT,12/15/2020,6.8,8.2,-1.4
Austria,AT,1/15/2021,7.4,8.3,-0.9
Bósnia-Hezergovina,BA,1/15/2021,18,8.3,9.7
Austria,AT,2/15/2021,7.1,8.3,-1.2
Austria,AT,3/15/2021,6.9,8.2,-1.3
Austria,AT,4/15/2021,7.2,8.3,-1.1
Austria,AT,5/15/2021,6.7,8.1,-1.4
Austria,AT,6/15/2021,6.3,7.9,-1.6
Austria,AT,7/15/2021,5.9,7.7,-1.8
Austria,AT,8/15/2021,5.9,7.6,-1.7
Austria,AT,9/15/2021,5,7.4,-2.4
Austria,AT,10/15/2021,5.7,7.3,-1.6
Austria,AT,11/15/2021,5.1,7.2,-2.1
Austria,AT,12/15/2021,4.9,7.1,-2.2
Austria,AT,1/15/2022,4.7,7,-2.3
Austria,AT,2/15/2022,4.9,6.9,-2
Austria,AT,3/15/2022,4.4,6.9,-2.5
Austria,AT,4/15/2022,4.5,6.8,-2.3
Austria,AT,5/15/2022,4.5,6.8,-2.3
Austria,AT,6/15/2022,4.4,6.8,-2.4
Austria,AT,7/15/2022,4.5,6.7,-2.2
Austria,AT,8/15/2022,5,6.8,-1.8
Austria,AT,9/15/2022,5.2,6.7,-1.5
Austria,AT,10/15/2022,4.7,6.7,-2
Austria,AT,11/15/2022,5.2,6.7,-1.5
Austria,AT,12/15/2022,4.9,6.8,-1.9
Austria,AT,1/15/2023,5.2,6.7,-1.5
Austria,AT,2/15/2023,5.1,6.6,-1.5
Austria,AT,3/15/2023,4.5,6.6,-2.1
Austria,AT,4/15/2023,5.1,6.5,-1.4
Austria,AT,5/15/2023,4.8,6.5,-1.7
Austria,AT,6/15/2023,5,6.5,-1.5
Austria,AT,7/15/2023,5.5,6.6,-1.1
Austria,AT,8/15/2023,5.4,6.6,-1.2
Austria,AT,9/15/2023,5.4,6.6,-1.2
Austria,AT,10/15/2023,5,6.6,-1.6
Austria,AT,11/15/2023,5,6.6,-1.6
Austria,AT,12/15/2023,5.5,6.5,-1
Austria,AT,1/15/2024,4.9,6.6,-1.7
Austria,AT,2/15/2024,4.7,6.6,-1.9
Austria,AT,3/15/2024,5,6.5,-1.5
Austria,AT,4/15/2024,5,6.4,-1.4
Austria,AT,5/15/2024,5.2,6.4,-1.2
Austria,AT,6/15/2024,5.2,6.4,-1.2
Austria,AT,7/15/2024,5.1,6.4,-1.3
Austria,AT,8/15/2024,5.3,6.3,-1
Austria,AT,9/15/2024,5.6,6.3,-0.7
Austria,AT,10/15/2024,5.6,6.3,-0.7
Austria,AT,11/15/2024,5.1,6.2,-1.1
Austria,AT,12/15/2024,5.4,6.3,-0.9
Austria,AT,1/15/2025,5.5,6.3,-0.8
Austria,AT,2/15/2025,5.3,6.3,-1
Austria,AT,3/15/2025,5.6,6.4,-0.8
Austria,AT,4/15/2025,5.6,6.3,-0.7
Austria,AT,5/15/2025,5.5,6.4,-0.9
Austria,AT,6/15/2025,5.9,6.3,-0.4
Bósnia-Hezergovina,BA,2/15/2021,17.9,8.3,9.6
Bósnia-Hezergovina,BA,3/15/2021,17.7,8.2,9.5
Bósnia-Hezergovina,BA,4/15/2021,17.6,8.3,9.3
Bósnia-Hezergovina,BA,5/15/2021,17.5,8.1,9.4
Bósnia-Hezergovina,BA,6/15/2021,17.3,7.9,9.4
Bósnia-Hezergovina,BA,7/15/2021,17.3,7.7,9.6
Bósnia-Hezergovina,BA,8/15/2021,17.1,7.6,9.5
Bósnia-Hezergovina,BA,9/15/2021,16.9,7.4,9.5
Bósnia-Hezergovina,BA,10/15/2021,16.7,7.3,9.4
Bósnia-Hezergovina,BA,11/15/2021,16.5,7.2,9.3
Bósnia-Hezergovina,BA,12/15/2021,16.3,7.1,9.2
Bósnia-Hezergovina,BA,1/15/2022,16.2,7,9.2
Bósnia-Hezergovina,BA,2/15/2022,16.1,6.9,9.2
Bósnia-Hezergovina,BA,3/15/2022,15.9,6.9,9
Bósnia-Hezergovina,BA,4/15/2022,15.7,6.8,8.9
Bósnia-Hezergovina,BA,5/15/2022,15.5,6.8,8.7
Bósnia-Hezergovina,BA,6/15/2022,15.3,6.8,8.5
Bósnia-Hezergovina,BA,7/15/2022,15.1,6.7,8.4
Bósnia-Hezergovina,BA,8/15/2022,14.9,6.8,8.1
Bósnia-Hezergovina,BA,9/15/2022,14.7,6.7,8
Bósnia-Hezergovina,BA,10/15/2022,14.4,6.7,7.7
Bósnia-Hezergovina,BA,11/15/2022,14.1,6.7,7.4
Bósnia-Hezergovina,BA,12/15/2022,14,6.8,7.2
Bósnia-Hezergovina,BA,1/15/2023,13.9,6.7,7.2
Bósnia-Hezergovina,BA,2/15/2023,13.8,6.6,7.2
Bósnia-Hezergovina,BA,3/15/2023,13.7,6.6,7.1
Bósnia-Hezergovina,BA,4/15/2023,13.5,6.5,7
Bósnia-Hezergovina,BA,5/15/2023,13.3,6.5,6.8
Bósnia-Hezergovina,BA,6/15/2023,13.3,6.5,6.8
Bósnia-Hezergovina,BA,7/15/2023,13.2,6.6,6.6
Bósnia-Hezergovina,BA,8/15/2023,13.2,6.6,6.6
Bósnia-Hezergovina,BA,9/15/2023,13.3,6.6,6.7
Bósnia-Hezergovina,BA,10/15/2023,13.2,6.6,6.6
Bósnia-Hezergovina,BA,11/15/2023,13.3,6.6,6.7
Bósnia-Hezergovina,BA,12/15/2023,13.3,6.5,6.8
Bósnia-Hezergovina,BA,1/15/2024,13.1,6.6,6.5
Bósnia-Hezergovina,BA,2/15/2024,13.1,6.6,6.5
Bósnia-Hezergovina,BA,3/15/2024,13,6.5,6.5
Bósnia-Hezergovina,BA,4/15/2024,12.7,6.4,6.3
Bósnia-Hezergovina,BA,5/15/2024,12.6,6.4,6.2
Bósnia-Hezergovina,BA,6/15/2024,12.6,6.4,6.2
Bósnia-Hezergovina,BA,7/15/2024,12.6,6.4,6.2
Bósnia-Hezergovina,BA,8/15/2024,12.7,6.3,6.4
Bósnia-Hezergovina,BA,9/15/2024,12.6,6.3,6.3
Bósnia-Hezergovina,BA,10/15/2024,12.6,6.3,6.3
Bósnia-Hezergovina,BA,11/15/2024,12.6,6.2,6.4
Bósnia-Hezergovina,BA,12/15/2024,12.5,6.3,6.2
Bósnia-Hezergovina,BA,1/15/2025,12.6,6.3,6.3
Bósnia-Hezergovina,BA,2/15/2025,12.6,6.3,6.3
Bósnia-Hezergovina,BA,3/15/2025,12.6,6.4,6.2
Bósnia-Hezergovina,BA,4/15/2025,12.5,6.3,6.2
Bósnia-Hezergovina,BA,5/15/2025,12.4,6.4,6
Bósnia-Hezergovina,BA,6/15/2025,12.5,6.3,6.2
Bélgica,BE,1/15/2000,7.3,9.4,-2.1
Bélgica,BE,2/15/2000,7.1,9.4,-2.3
Bélgica,BE,3/15/2000,6.9,9.3,-2.4
Bélgica,BE,4/15/2000,6.9,9.2,-2.3
Bélgica,BE,5/15/2000,6.8,9.1,-2.3
Bélgica,BE,6/15/2000,6.7,9.1,-2.4
Bélgica,BE,7/15/2000,6.8,9,-2.2
Bélgica,BE,8/15/2000,7,9,-2
Bélgica,BE,9/15/2000,6.9,8.9,-2
Bélgica,BE,10/15/2000,6.8,8.8,-2
Bélgica,BE,11/15/2000,6.7,8.8,-2.1
Bélgica,BE,12/15/2000,6.4,8.7,-2.3
Bélgica,BE,1/15/2001,6.1,8.6,-2.5
Bélgica,BE,2/15/2001,6,8.5,-2.5
Bélgica,BE,3/15/2001,6.1,8.5,-2.4
Bélgica,BE,4/15/2001,6.5,8.5,-2
Bélgica,BE,5/15/2001,6.6,8.5,-1.9
Bélgica,BE,6/15/2001,6.4,8.5,-2.1
Bélgica,BE,7/15/2001,6.1,8.5,-2.4
Bélgica,BE,8/15/2001,6.2,8.5,-2.3
Bélgica,BE,9/15/2001,6.6,8.5,-1.9
Bélgica,BE,10/15/2001,7.3,8.5,-1.2
Bélgica,BE,11/15/2001,7.4,8.6,-1.2
Bélgica,BE,12/15/2001,7.5,8.6,-1.1
Bélgica,BE,1/15/2002,7.4,8.6,-1.2
Bélgica,BE,2/15/2002,7.3,8.6,-1.3
Bélgica,BE,3/15/2002,7.3,8.6,-1.3
Bélgica,BE,4/15/2002,7.3,8.6,-1.3
Bélgica,BE,5/15/2002,7.3,8.7,-1.4
Bélgica,BE,6/15/2002,7.3,8.7,-1.4
Bélgica,BE,7/15/2002,7.5,8.8,-1.3
Bélgica,BE,8/15/2002,7.4,8.8,-1.4
Bélgica,BE,9/15/2002,7.6,8.9,-1.3
Bélgica,BE,10/15/2002,7.8,8.9,-1.1
Bélgica,BE,11/15/2002,8,8.9,-0.9
Bélgica,BE,12/15/2002,8.1,9,-0.9
Bélgica,BE,1/15/2003,8.1,9.1,-1
Bélgica,BE,2/15/2003,8.1,9.1,-1
Bélgica,BE,3/15/2003,8.1,9.2,-1.1
Bélgica,BE,4/15/2003,8.1,9.2,-1.1
Bélgica,BE,5/15/2003,8.1,9.2,-1.1
Bélgica,BE,6/15/2003,8.1,9.2,-1.1
Bélgica,BE,7/15/2003,8.1,9.2,-1.1
Bélgica,BE,8/15/2003,8.1,9.2,-1.1
Bélgica,BE,9/15/2003,8.2,9.2,-1
Bélgica,BE,10/15/2003,8.3,9.2,-0.9
Bélgica,BE,11/15/2003,8.3,9.2,-0.9
Bélgica,BE,12/15/2003,8.5,9.3,-0.8
Bélgica,BE,1/15/2004,8.7,9.4,-0.7
Bélgica,BE,2/15/2004,8.6,9.4,-0.8
Bélgica,BE,3/15/2004,8.3,9.4,-1.1
Bélgica,BE,4/15/2004,7.7,9.4,-1.7
Bélgica,BE,5/15/2004,7.6,9.4,-1.8
Bélgica,BE,6/15/2004,8,9.3,-1.3
Bélgica,BE,7/15/2004,8.6,9.4,-0.8
Bélgica,BE,8/15/2004,9,9.4,-0.4
Bélgica,BE,9/15/2004,9,9.4,-0.4
Bélgica,BE,10/15/2004,8.6,9.4,-0.8
Bélgica,BE,11/15/2004,8.3,9.4,-1.1
Bélgica,BE,12/15/2004,8.2,9.4,-1.2
Bélgica,BE,1/15/2005,8.3,9.3,-1
Bélgica,BE,2/15/2005,8.5,9.3,-0.8
Bélgica,BE,3/15/2005,8.6,9.3,-0.7
Bélgica,BE,4/15/2005,8.4,9.4,-1
Bélgica,BE,5/15/2005,8.6,9.3,-0.7
Bélgica,BE,6/15/2005,8.5,9.3,-0.8
Bélgica,BE,7/15/2005,8.5,9.2,-0.7
Bélgica,BE,8/15/2005,8.5,9.2,-0.7
Bélgica,BE,9/15/2005,8.5,9.2,-0.7
Bélgica,BE,10/15/2005,8.4,9.2,-0.8
Bélgica,BE,11/15/2005,8.4,9.1,-0.7
Bélgica,BE,12/15/2005,8.5,9.1,-0.6
Bélgica,BE,1/15/2006,8.5,9,-0.5
Bélgica,BE,2/15/2006,8.6,8.9,-0.3
Bélgica,BE,3/15/2006,8.6,8.8,-0.2
Bélgica,BE,4/15/2006,8.7,8.7,0
Bélgica,BE,5/15/2006,8.8,8.6,0.2
Bélgica,BE,6/15/2006,8.5,8.5,0
Bélgica,BE,7/15/2006,8,8.4,-0.4
Bélgica,BE,8/15/2006,7.8,8.4,-0.6
Bélgica,BE,9/15/2006,7.9,8.3,-0.4
Bélgica,BE,10/15/2006,7.9,8.2,-0.3
Bélgica,BE,11/15/2006,8,8.2,-0.2
Bélgica,BE,12/15/2006,7.9,8.1,-0.2
Bélgica,BE,1/15/2007,7.8,8,-0.2
Bélgica,BE,2/15/2007,7.8,7.9,-0.1
Bélgica,BE,3/15/2007,7.9,7.8,0.1
Bélgica,BE,4/15/2007,8.2,7.7,0.5
Bélgica,BE,5/15/2007,8.1,7.7,0.4
Bélgica,BE,6/15/2007,7.7,7.6,0.1
Bélgica,BE,7/15/2007,7.3,7.6,-0.3
Bélgica,BE,8/15/2007,7,7.6,-0.6
Bélgica,BE,9/15/2007,6.9,7.5,-0.6
Bélgica,BE,10/15/2007,7,7.5,-0.5
Bélgica,BE,11/15/2007,7.1,7.4,-0.3
Bélgica,BE,12/15/2007,7.1,7.5,-0.4
Bélgica,BE,1/15/2008,7.1,7.4,-0.3
Bélgica,BE,2/15/2008,6.9,7.4,-0.5
Bélgica,BE,3/15/2008,6.7,7.4,-0.7
Bélgica,BE,4/15/2008,6.5,7.5,-1
Bélgica,BE,5/15/2008,6.5,7.5,-1
Bélgica,BE,6/15/2008,6.9,7.6,-0.7
Bélgica,BE,7/15/2008,7.5,7.6,-0.1
Bélgica,BE,8/15/2008,7.6,7.7,-0.1
Bélgica,BE,9/15/2008,7.4,7.8,-0.4
Bélgica,BE,10/15/2008,6.9,7.9,-1
Bélgica,BE,11/15/2008,6.7,8.1,-1.4
Bélgica,BE,12/15/2008,6.9,8.4,-1.5
Bélgica,BE,1/15/2009,7.8,8.8,-1
Bélgica,BE,2/15/2009,7.9,9.1,-1.2
Bélgica,BE,3/15/2009,7.9,9.4,-1.5
Bélgica,BE,4/15/2009,7.9,9.5,-1.6
Bélgica,BE,5/15/2009,7.9,9.6,-1.7
Bélgica,BE,6/15/2009,8,9.7,-1.7
Bélgica,BE,7/15/2009,8,9.8,-1.8
Bélgica,BE,8/15/2009,8,9.9,-1.9
Bélgica,BE,9/15/2009,8,10,-2
Bélgica,BE,10/15/2009,8,10.1,-2.1
Bélgica,BE,11/15/2009,8.1,10.2,-2.1
Bélgica,BE,12/15/2009,8.4,10.2,-1.8
Bélgica,BE,1/15/2010,8.7,10.3,-1.6
Bélgica,BE,2/15/2010,8.6,10.3,-1.7
Bélgica,BE,3/15/2010,8.6,10.3,-1.7
Bélgica,BE,4/15/2010,8.5,10.4,-1.9
Bélgica,BE,5/15/2010,8.4,10.4,-2
Bélgica,BE,6/15/2010,8.5,10.3,-1.8
Bélgica,BE,7/15/2010,8.6,10.3,-1.7
Bélgica,BE,8/15/2010,8.5,10.2,-1.7
Bélgica,BE,9/15/2010,8.4,10.2,-1.8
Bélgica,BE,10/15/2010,8.2,10.3,-2.1
Bélgica,BE,11/15/2010,7.9,10.2,-2.3
Bélgica,BE,12/15/2010,7.7,10.2,-2.5
Bélgica,BE,1/15/2011,7.3,10.1,-2.8
Bélgica,BE,2/15/2011,7.1,10.1,-3
Bélgica,BE,3/15/2011,6.9,10.1,-3.2
Bélgica,BE,4/15/2011,6.8,10,-3.2
Bélgica,BE,5/15/2011,7,10.1,-3.1
Bélgica,BE,6/15/2011,7.1,10.1,-3
Bélgica,BE,7/15/2011,7.5,10.2,-2.7
