GridNo,Lat,Long,Alt,NUTS3_ID,NUTS3_Desc,NUTS2_ID,NUTS2_Desc,NUTS1_ID,NUTS1_Desc,Country_ID,Country_Desc,RiverBank
68059,42.23572,-5.31319,801,ES413,León,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
68060,42.28096,-5.01573,803,ES418,Valladolid,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
68061,42.32532,-4.71787,833,ES414,Palencia,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
68062,42.36881,-4.41964,819,ES414,Palencia,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
68063,42.41141,-4.12102,824,ES412,Burgos,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
68064,42.45313,-3.82203,918,ES412,Burgos,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
68065,42.49397,-3.52268,926,ES412,Burgos,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
68066,42.53393,-3.22298,744,ES412,Burgos,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
68067,42.573,-2.92292,564,ES230,La Rioja,ES23,La Rioja,ES2,Noreste (ES),ES,Spain,North of Tagus
68068,42.61118,-2.62252,632,ES211,Araba/Álava,ES21,País Vasco,ES2,Noreste (ES),ES,Spain,North of Tagus
68069,42.64846,-2.32178,589,ES211,Araba/Álava,ES21,País Vasco,ES2,Noreste (ES),ES,Spain,North of Tagus
68070,42.68486,-2.02071,481,ES220,Navarra,ES22,Comunidad Foral de Navarra,ES2,Noreste (ES),ES,Spain,North of Tagus
68071,42.72037,-1.71932,457,ES220,Navarra,ES22,Comunidad Foral de Navarra,ES2,Noreste (ES),ES,Spain,North of Tagus
68072,42.75498,-1.41762,534,ES220,Navarra,ES22,Comunidad Foral de Navarra,ES2,Noreste (ES),ES,Spain,North of Tagus
68073,42.78869,-1.11561,743,ES220,Navarra,ES22,Comunidad Foral de Navarra,ES2,Noreste (ES),ES,Spain,North of Tagus
68074,42.82151,-0.8133,1014,ES241,Huesca,ES24,Aragón,ES2,Noreste (ES),ES,Spain,North of Tagus
69047,41.85114,-8.82302,51,PT111,Alto Minho,PT11,Norte,PT1,Continente,PT,Portugal,North of Tagus
69048,41.89897,-8.62591,131,PT111,Alto Minho,PT11,Norte,PT1,Continente,PT,Portugal,North of Tagus
69049,41.95395,-8.33218,289,PT111,Alto Minho,PT11,Norte,PT1,Continente,PT,Portugal,North of Tagus
69050,42.00807,-8.03799,686,ES113,Ourense,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
69051,42.06133,-7.74334,618,ES113,Ourense,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
69052,42.11374,-7.44823,760,ES113,Ourense,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
